CustomerID,TerritoryID,TotalPurchaseYTD,DateFirstPurchase,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwnerFlag,NumberCarsOwned,CommuteDistance,Age,Bike
11000,9,8227.01,07/22/2001,M,75001-100000,M,2,0,Bachelors,Professional,1,0,1-2 Miles,41,1
11001,9,6374.89,07/18/2001,S,50001-75000,M,3,3,Bachelors,Professional,0,1,0-1 Miles,42,1
11002,9,5819.05,07/10/2001,M,50001-75000,M,3,3,Bachelors,Professional,1,1,2-5 Miles,42,1
11003,9,8130.3,07/01/2001,S,50001-75000,F,0,0,Bachelors,Professional,0,1,5-10 Miles,39,1
11004,9,8161.02,07/26/2001,S,75001-100000,F,5,5,Bachelors,Professional,1,4,1-2 Miles,39,1
11005,9,4746.34,07/02/2001,S,50001-75000,M,0,0,Bachelors,Professional,1,1,5-10 Miles,42,1
11006,9,5734.96,07/27/2001,S,50001-75000,F,0,0,Bachelors,Professional,1,1,5-10 Miles,42,1
11007,9,8176.01,07/12/2001,M,50001-75000,M,3,3,Bachelors,Professional,1,2,0-1 Miles,43,1
11008,9,4731.32,07/28/2001,S,50001-75000,F,4,4,Bachelors,Professional,1,3,10+ Miles,43,1
11009,9,4716.34,07/30/2001,S,50001-75000,M,0,0,Bachelors,Professional,0,1,5-10 Miles,43,1
11010,9,5793.05,07/17/2001,S,50001-75000,F,0,0,Bachelors,Professional,0,1,5-10 Miles,43,1
11011,9,4733.05,07/02/2001,M,50001-75000,M,4,4,Bachelors,Professional,1,4,10+ Miles,44,1
11012,1,46.27,09/17/2003,M,75001-100000,F,2,0,Bachelors,Management,1,2,1-2 Miles,39,0
11013,1,78.97,10/15/2003,M,75001-100000,M,2,0,Bachelors,Management,1,3,0-1 Miles,39,0
11014,1,113.96,09/24/2003,S,75001-100000,F,3,0,Bachelors,Management,0,3,1-2 Miles,39,0
11015,4,2341.97,07/22/2003,S,25001-50000,F,0,0,Partial College,Skilled Manual,0,1,5-10 Miles,28,1
11016,4,2329.99,08/13/2003,M,25001-50000,M,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,28,1
11017,9,6412.33,07/15/2001,S,0-25000,F,4,0,High School,Skilled Manual,1,2,5-10 Miles,63,1
